tick,population,mean_h,median_h,births_interval,deaths_starvation_interval,deaths_collision_interval,food_count,kl_divergence
155000,65,5.3077,5.0,168,0,170,840,0.414573
155100,56,5.5714,5.0,160,0,169,881,0.384302
155200,69,5.3478,5.0,180,0,167,807,0.350913
155300,76,5.1974,5.0,154,1,146,817,0.357270
155400,79,5.3797,5.0,151,0,148,833,0.336096
155500,71,5.3803,5.0,156,1,163,820,0.363407
155600,71,5.2254,5.0,147,0,147,856,0.381230
155700,68,5.5882,5.0,154,0,157,870,0.392320
155800,79,5.4937,5.0,169,0,158,835,0.333892
155900,78,5.3333,5.0,156,0,157,788,0.318629
156000,79,5.5570,5.0,156,0,155,793,0.332211
156100,92,5.4348,5.0,162,0,149,733,0.267144
156200,78,5.4103,5.0,125,0,139,778,0.258945
156300,82,5.7073,5.5,161,0,157,825,0.317978
156400,65,5.4462,5.0,153,1,169,820,0.329109
156500,74,5.3243,5.0,162,0,153,804,0.313475
156600,79,5.7722,6.0,156,0,151,826,0.320149
156700,76,5.5000,5.0,154,0,157,838,0.305567
156800,73,5.3014,5.0,144,0,147,807,0.315520
156900,55,5.6727,6.0,134,0,152,873,0.359768
157000,71,5.7183,6.0,181,0,165,835,0.378204
157100,73,5.3288,5.0,156,0,154,823,0.374308
157200,82,5.5244,5.0,166,0,157,823,0.289408
157300,82,5.6220,5.0,152,0,152,762,0.292806
157400,85,5.3647,5.0,138,0,135,771,0.312790
157500,99,5.3838,5.0,148,0,134,765,0.285069
157600,76,5.7368,6.0,136,1,158,796,0.318306
157700,58,5.2069,5.0,153,0,171,806,0.320534
157800,72,5.7917,6.0,168,0,154,831,0.345021
157900,79,5.5696,6.0,158,0,151,780,0.340938
158000,69,5.4493,5.0,142,1,151,802,0.374075
158100,85,5.7529,6.0,159,0,143,787,0.318256
158200,88,5.6250,6.0,143,0,140,757,0.314380
158300,76,5.3553,5.0,132,0,144,803,0.314731
158400,76,5.7105,6.0,155,0,155,800,0.314943
158500,78,5.8462,6.0,136,0,134,808,0.324169
158600,71,5.5634,6.0,149,0,156,817,0.341341
158700,81,5.7654,6.0,152,0,142,802,0.299119
158800,68,5.6471,5.5,140,0,153,819,0.329150
158900,61,5.4590,5.0,149,0,156,819,0.338194
159000,79,5.7089,6.0,172,0,154,815,0.367959
159100,64,5.7500,6.0,138,0,153,847,0.422010
159200,63,5.5397,5.0,166,1,166,843,0.424671
159300,78,5.7949,6.0,185,0,170,836,0.383815
159400,74,5.5946,5.0,169,0,173,843,0.359972
159500,58,5.7414,6.0,161,0,177,870,0.445856
159600,64,5.7812,6.0,182,0,176,872,0.442328
159700,67,5.5373,5.0,188,0,185,814,0.390354
159800,54,5.4444,6.0,166,0,179,863,0.438503
159900,61,5.7049,6.0,186,0,179,887,0.403443
160000,60,5.8000,6.0,179,0,180,876,0.421592
160100,58,5.5862,6.0,179,0,181,871,0.392601
160200,66,5.7424,6.0,183,0,175,860,0.352650
160300,65,5.6462,6.0,170,0,171,844,0.372579
